Name,Price,Category,Description,ProductImages
WOOLEN JACKET FULL SLEEVE BLUE GREY,"PKR 6,248",JACKETS WOOLEN JACKET FULL SLEEVE BLUE GREY,,"https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-BGY/IMG_7238%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-BGY/IMG_7239%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-BGY/IMG_7241%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-BGY/IMG_7240%20copy-600x900.jpg"
WOOLEN JACKET FULL SLEEVE BLUE MAROON,"PKR 6,248",JACKETS WOOLEN JACKET FULL SLEEVE BLUE MAROON,,"https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-BMA/IMG_7232%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-BMA/IMG_7233%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-BMA/IMG_7235%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-BMA/IMG_7234%20copy-600x900.jpg"
WOOLEN JACKET FULL SLEEVE NAVY GREEN,"PKR 6,248",JACKETS WOOLEN JACKET FULL SLEEVE NAVY GREEN,,"https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-NGN/IMG_7891%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-NGN/IMG_7894%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-NGN/IMG_7895%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-NGN/IMG_7893%20copy-600x900.jpg"
WOOLEN JACKET FULL SLEEVE NAVY,"PKR 6,248",JACKETS WOOLEN JACKET FULL SLEEVE NAVY,,"https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-NVY/IMG_7479%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-NVY/IMG_7480%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-NVY/IMG_7482%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/jackets/19JKT33-NVY/IMG_7481%20copy-600x900.jpg"
SWEATER V NECK SLEEVE LESS LIGHT GREY,"PKR 2,748",JACKETS SWEATER V NECK SLEEVE LESS LIGHT GREY,,"https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-LGR/IMG_5074%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-LGR/IMG_5076%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-LGR/IMG_5077%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-LGR/IMG_5075%20copy-600x900.jpg"
SWEATER V NECK SLEEVE LESS MAROON,"PKR 2,748",JACKETS SWEATER V NECK SLEEVE LESS MAROON,,"https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-MRN/IMG_5086%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-MRN/IMG_5087%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-MRN/IMG_5089%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-MRN/IMG_5088%20copy-600x900.jpg"
SWEATER V NECK SLEEVE LESS NAVY,"PKR 2,748",JACKETS SWEATER V NECK SLEEVE LESS NAVY,,"https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-NVY/IMG_5044%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-NVY/IMG_5045%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-NVY/IMG_5047%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT26-NVY/IMG_5046%20copy-600x900.jpg"
SWEATER V NECK SLEEVE LESS BLACK GREY,"PKR 2,748",JACKETS SWEATER V NECK SLEEVE LESS BLACK GREY,,"https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT28-BKG/IMG_5082%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT28-BKG/IMG_5083%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT28-BKG/IMG_5085%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT28-BKG/IMG_5084%20copy-600x900.jpg"
SWEATER V NECK SLEEVE LESS MAROON NAVY,"PKR 2,748",JACKETS SWEATER V NECK SLEEVE LESS MAROON NAVY,,"https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT28-MNM/IMG_7502%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT28-MNM/IMG_7504%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT28-MNM/IMG_7505%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT28-MNM/IMG_7503%20copy-600x900.jpg"
SWEATER ZIPPER FULL SLEEVE BROWN,"PKR 2,998",JACKETS SWEATER ZIPPER FULL SLEEVE BROWN,,"https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT24-BRN/IMG_5241%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT24-BRN/IMG_5242%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT24-BRN/IMG_5244%20copy-600x900.jpg,https://www.charcoal.com.pk/image/cache/catalog/AFROZ/WINTER%202019/SWEATER/19SWT24-BRN/IMG_5243%20copy-600x900.jpg"
